,地点,时间,地点经纬度,longtitude,latitude,存栏,发病,死亡
0,银川市兴庆区掌政镇,2019.09.10,"38°24'57.3""N 106°21'59.3""E",106.3664722,38.41591667,226,13,13
1,永善县大兴镇,2019.08.26,"27°42'00.8""N 103°22'56.2""E",103.3822778,27.70022222,120,55,26
2,防城港市防城区钦东高速公路华石收费站,2019.08.08,"21°45'12.9""N 108°13'50.7""E",108.23075,21.75358333,52,51,1
3,洪湖市万全镇,2019.08.01,"30°01'37.1""N 113°23'25.3""E",113.3903611,30.02697222,32,9,3
4,康平县海洲,2019.07.27,"42°56'37.3""N 123°23'21.4""E",123.3892778,42.94369444,70,-,20
5,西丰县安民镇高速公路出口处,2019.07.27,"42°45'10.2""N 124°53'40.5""E",124.8945833,42.75283333,135,-,2
6,夹江县甘江镇,2019.07.17,"29°41'06.3""N 103°38'25.4""E",103.6403889,29.68508333,102,21,21
7,黄冈市团风县但店镇,2019.07.11,"30°45'46.1""N 115°11'03.3""E",115.18425,30.76280556,102,5,5
8,贵港市港北区中里乡中里村,2019.07.06,"23°14'47.9""N 109°37'21.9""E",109.62275,23.24663889,744,42,1
9,陆川县大桥镇大塘村,2019.07.05,"22°11'25.8""N 110°14'37.7""E",110.2438056,22.1905,147,9,9
10,中卫市沙坡头区生猪屠宰厂,2019.06.28,"37°30'43.9""N 105°11'54.1""E",105.1983611,37.51219444,60,-,-
11,海东市平安区石灰窑乡上法台村,2019.06.23,"36°20'56.5""N 101°52'45.4""E",101.8792778,36.34902778,32,32,17
12,黔南州三都县周覃镇连心村,2019.06.21,"25°47'10.2""N 107°53'55.6""E",107.8987778,25.78616667,898,114,82
13,平塘县克度镇落良村,2019.06.20,"25°41'28.2""N 106°50'39.1""E",106.8441944,25.69116667,65,24,21
14,通州镇乐阳村董老组,2019.06.20,"25°45'57.9""N 107°02'01.7""E",107.0338056,25.76608333,121,19,15
15,都匀市,2019.06.11,"26°09'22.4""N 107°28'55.8""E",107.4821667,26.15622222,331,15,10
16,兰海高速距离都匀南出口10公里处,2019.05.31,"26°05'14.2""N 107°27'36.2""E",107.4600556,26.08727778,32,1,1
17,西双版纳州勐海县格朗和乡,2019.05.29,"21°51'40.4""N 100°34'12.3""E",100.5700833,21.86122222,80,37,12
18,博白县旺茂镇,2019.05.27,"22°06'13.0""N 109°54'02.6""E",109.9007222,22.10361111,1,1,0
19,云南省文山州砚山县维摩乡,2019.05.25,"23°43'44.3""N 104°11'23.3""E",104.1898056,23.72897222,104,49,48
20,石嘴山市惠农区河滨街道办事处,2019.05.21,"39°18'40.9""N 106°46'18.0""E",106.7716667,39.31136111,40,4,3
21,阿坝州若尔盖县降扎乡,2019.05.20,"34°09'28.5""N 102°48'30.9""E",102.8085833,34.15791667,429,111,78
22,贵阳市乌当区一屠宰场,2019.05.18,"26°39'31.2""N 106°49'22.9""E",106.8230278,26.65866667,75,6,6
23,海口市秀英区,2019.04.21,"19°53'50.4""N 110°14'03.5""E",110.2343056,19.89733333,252,252,43
24,澄迈县,2019.04.21,"19°41'17.5""N 110°01'03.3""E",110.0175833,19.68819444,172,62,62
25,保亭黎族苗族自治县,2019.04.21,"18°39'41.6""N 109°47'29.6""E",109.7915556,18.66155556,7,7,7
26,陵水黎族自治县,2019.04.21,"18°39'29.9""N 109°47'39.5""E",109.7943056,18.65830556,86,34,34
27,儋州市,2019.04.19,"19°37'00.6""N 109°07'40.5""E",109.1279167,19.61683333,302,28,28
28,万宁市,2019.04.19,"18°56'32.0""N 110°26'55.8""E",110.4488333,18.94222222,419,49,49
29,喀什地区疏勒县,2019.04.11,"39°23'06.9""N 76°01'30.2""E",76.02505556,39.38525,583,150,92
30,叶城县,2019.04.07,"37°53'05.2""N 77°25'36.7""E",77.42686111,37.88477778,341,39,39
31,林芝市巴宜区、工布江达县、波密县,2019.04.07,"29°06'30.6""N 94°20'19.0""E",94.33861111,29.1085,-,-,55
32,香格里拉市,2019.04.04,"27°41'39.1""N 100°01'18.2""E",100.0217222,27.69419444,301,196,105
